year,month,wpp,detection_count,rad_mean,log_rad_mean,is_partial_year
2015,12,WPP572,3240,5.3252,1.844546,0
2015,12,WPP573,925,3.0636,1.402059,0
2015,12,WPP711,8077,37.571,3.652501,0
2015,12,WPP712,21091,32.6273,3.515339,0
2015,12,WPP713,7613,25.2565,3.267913,0
2015,12,WPP714,1277,22.1175,3.14059,0
2015,12,WPP715,507,62.2877,4.14769,0
2015,12,WPP716,1337,5.2113,1.826367,0
2015,12,WPP717,134,2.3405,1.206113,0
2015,12,WPP718,2657,52.2034,3.974122,0
2016,1,Unknown,57,6.1351,1.965026,0
2016,1,WPP571,3139,11.869,2.55482,0
2016,1,WPP572,4796,5.3546,1.849172,0
2016,1,WPP573,1413,2.4829,1.247872,0
2016,1,WPP711,4662,28.5899,3.387435,0
2016,1,WPP712,23948,30.4283,3.447708,0
2016,1,WPP713,9371,20.3346,3.06033,0
2016,1,WPP714,1903,24.7228,3.247379,0
2016,1,WPP715,671,48.998,3.911983,0
2016,1,WPP716,1225,5.2217,1.828044,0
2016,1,WPP717,149,2.4516,1.238827,0
2016,1,WPP718,3713,52.972,3.988465,0
2016,2,Unknown,54,8.2851,2.228412,0
2016,2,WPP571,1790,14.292,2.727329,0
2016,2,WPP572,3149,5.2703,1.835823,0
2016,2,WPP573,866,4.6849,1.73782,0
2016,2,WPP711,1975,31.4286,3.47904,0
2016,2,WPP712,13553,31.33,3.475996,0
2016,2,WPP713,5121,22.7251,3.166533,0
2016,2,WPP714,652,22.9332,3.175268,0
2016,2,WPP715,361,77.0217,4.356987,0
2016,2,WPP716,929,7.0273,2.082846,0
2016,2,WPP717,68,3.7074,1.54914,0
